,상권코드,시군구명,서비스업종명,월예상매출,점수
2935,2130064,성동구,호프-간이주점,554.0,45.69
2936,2110507,서대문구,제과점,1077.0,59.27
2937,2110507,서대문구,양식음식점,1639.0,73.87
2938,2110507,서대문구,호프-간이주점,1345.0,66.23
2939,2110507,서대문구,육류판매,1457.0,69.14
2940,2110507,서대문구,한식음식점,1579.0,72.31
2941,2110507,서대문구,중식음식점,1457.0,69.14
2942,2110507,서대문구,패스트푸드점,1008.0,57.48
2943,2110507,서대문구,분식전문점,1526.0,70.93
2944,2120065,동대문구,제과점,777.0,51.48
2945,2120065,동대문구,치킨전문점,834.0,52.96
2946,2110131,성동구,호프-간이주점,1026.0,57.95
2947,2110131,성동구,커피-음료,1024.0,57.9
2948,2130065,성동구,육류판매,1138.0,60.86
2949,2130065,성동구,한식음식점,1304.0,65.17
2950,2130065,성동구,제과점,886.0,54.31
2951,2130065,성동구,호프-간이주점,1138.0,60.86
2952,2130120,성북구,한식음식점,1082.0,59.4
2953,2110831,동작구,한식음식점,1137.0,60.83
2954,2110300,성북구,한식음식점,1581.0,72.36
2955,2120021,중구,제과점,533.0,45.15
2956,2120021,중구,커피-음료,863.0,53.72
2957,2120021,중구,호프-간이주점,732.0,50.32
2958,2110676,강서구,호프-간이주점,964.0,56.34
2959,2110676,강서구,한식음식점,986.0,56.91
2960,2110566,마포구,중식음식점,2367.0,92.77
2961,2110566,마포구,한식음식점,2418.0,94.1
2962,2110566,마포구,커피-음료,2191.0,88.2
2963,2110566,마포구,치킨전문점,2276.0,90.41
2964,2130010,종로구,한식음식점,840.0,53.12
2965,2130010,종로구,양식음식점,773.0,51.38
2966,2130010,종로구,중식음식점,773.0,51.38
2967,2111007,송파구,커피-음료,1498.0,70.21
2968,2111007,송파구,한식음식점,1794.0,77.89
2969,2110506,서대문구,분식전문점,602.0,46.94
2970,2110506,서대문구,일식음식점,879.0,54.13
2971,2110699,구로구,분식전문점,1097.0,59.79
2972,2110699,구로구,제과점,714.0,49.85
2973,2130326,강동구,호프-간이주점,655.0,48.32
